Date,Action,Price,Quantity,Cash,Portfolio_Value
2019-01-08,Buy,142.52999877929688,701.0,86.47085571289062,100000.0
2019-03-18,Sell,160.47000122070312,0.0,112575.94171142578,112575.94171142578
2019-03-20,Buy,165.44000244140625,680.0,76.74005126953125,112575.94171142578
2019-03-28,Sell,165.5500030517578,0.0,112650.74212646484,112650.74212646484
2019-03-29,Buy,166.69000244140625,675.0,134.990478515625,112650.74212646484
2019-05-23,Sell,180.8699951171875,0.0,122222.23718261719,122222.23718261719
2019-05-28,Buy,184.30999755859375,663.0,24.70880126953125,122222.23718261719
2019-05-29,Sell,182.19000244140625,0.0,120816.68041992188,120816.68041992188
2019-06-17,Buy,189.00999450683594,639.0,39.29393005371094,120816.68041992188
2019-08-02,Sell,189.02000427246094,0.0,120823.07666015625,120823.07666015625
2019-09-05,Buy,190.89999389648438,632.0,174.280517578125,120823.07666015625
2019-09-06,Sell,187.49000549316406,0.0,118667.96398925781,118667.96398925781
2019-09-17,Buy,188.0800018310547,630.0,177.56283569335938,118667.96398925781
2019-09-24,Sell,181.27999877929688,0.0,114383.96206665039,114383.96206665039
2019-10-11,Buy,184.19000244140625,621.0,1.970550537109375,114383.96206665039
2019-10-14,Sell,183.27999877929688,0.0,113818.84979248047,113818.84979248047
2019-10-15,Buy,188.88999938964844,602.0,107.07015991210938,113818.84979248047
2019-10-22,Sell,182.33999633789062,0.0,109875.74795532227,109875.74795532227
2019-10-23,Buy,186.14999389648438,590.0,47.251556396484375,109875.74795532227
2019-12-13,Sell,194.11000061035156,0.0,114572.1519165039,114572.1519165039
2019-12-16,Buy,197.9199981689453,578.0,174.39297485351562,114572.1519165039
2020-01-31,Sell,201.91000366210938,0.0,116878.37509155273,116878.37509155273
2020-02-06,Buy,210.85000610351562,554.0,67.47171020507812,116878.37509155273
2020-02-11,Sell,207.19000244140625,0.0,114850.73306274414,114850.73306274414
2020-02-13,Buy,213.13999938964844,538.0,181.41339111328125,114850.73306274414
2020-02-21,Sell,210.17999267578125,0.0,113258.2494506836,113258.2494506836
2020-04-14,Buy,178.1699981689453,635.0,120.30061340332031,113258.2494506836
2020-06-26,Sell,216.0800018310547,0.0,137331.10177612305,137331.10177612305
2020-06-30,Buy,227.07000732421875,604.0,180.81735229492188,137331.10177612305
2020-07-23,Sell,232.60000610351562,0.0,140671.22103881836,140671.22103881836
